WEC: ava. Rotation,WEC: max. Rotation,WEC: min. Rotation,WEC: ava. Power,WEC: max. Power,WEC: min. Power,WEC: ava. Nacel position including cable twisting,WEC: ava. reactive Power,WEC: max. reactive Power,WEC: min. reactive Power,WEC: ava. blade angle A,Sys 1 inverter 1 cabinet temp.,Sys 1 inverter 2 cabinet temp.,Sys 1 inverter 3 cabinet temp.,Sys 1 inverter 4 cabinet temp.,Sys 1 inverter 5 cabinet temp.,Sys 1 inverter 6 cabinet temp.,Sys 1 inverter 7 cabinet temp.,Sys 2 inverter 1 cabinet temp.,Sys 2 inverter 2 cabinet temp.,Sys 2 inverter 3 cabinet temp.,Sys 2 inverter 4 cabinet temp.,Sys 2 inverter 5 cabinet temp.,Sys 2 inverter 6 cabinet temp.,Sys 2 inverter 7 cabinet temp.,Spinner temp.,Front bearing temp.,Rear bearing temp.,Pitch cabinet blade A temp.,Pitch cabinet blade B temp.,Pitch cabinet blade C temp.,Blade A temp.,Blade B temp.,Blade C temp.,Rotor temp. 1,Rotor temp. 2,Stator temp. 1,Stator temp. 2,Nacelle ambient temp. 1,Nacelle ambient temp. 2,Nacelle temp.,Nacelle cabinet temp.,Main carrier temp.,Rectifier cabinet temp.,Yaw inverter cabinet temp.,Fan inverter cabinet temp.,Ambient temp.,Tower temp.,Control cabinet temp.,Transformer temp.,RTU: ava. Setpoint 1,Inverter averages,Inverter std dev
7.320000172,8.18999958,6.400000095,149,261,85,-364,40,48,31,1.0,25,26,25,25,26,26,27,29,31,31,29,-14,0,-50,22,24,29,38,38,37,166,165,166,46,46,49,49,17,17,20,24,18,39,27,32,18,25,32,40,3050,27.27272797,2.327698708
12.56000042,13.52000046,11.14000034,1938,2505,1285,-80,168,215,123,1.0,26,27,27,26,27,26,25,26,26,24,23,-14,0,-50,16,21,28,30,30,30,166,166,166,57,57,73,72,13,13,15,18,16,27,23,28,14,25,32,44,3050,25.72727203,1.272077799
14.68999958,15.31999969,14.22999954,2503,2555,2456,-91,208,209,208,5.269999981,24,25,25,24,26,22,23,24,24,21,21,-14,0,-50,10,17,26,29,29,28,166,166,166,78,78,114,113,5,4,8,10,11,23,19,21,6,26,32,52,3050,23.54545403,1.63484776
9.840000153,11.02999973,8.56000042,783,1233,463,-384,55,61,47,1.0,30,31,30,30,31,30,29,31,30,29,28,-14,0,-50,18,23,28,33,33,33,166,166,166,49,49,65,64,14,14,18,21,19,31,26,30,16,29,36,45,3050,29.90909004,0.943879783
11.0,11.27999973,10.46000004,1241,1359,1011,-432,118,121,99,1.0,28,28,27,27,28,26,27,26,26,24,24,-14,0,-50,14,19,25,29,29,28,166,166,167,46,46,68,68,11,11,14,16,15,26,21,25,9,24,32,42,3050,26.45454597,1.439696908
14.68999958,15.34000015,14.28999996,2521,2552,2486,143,1,2,1,9.199999809,31,34,31,33,33,33,30,33,31,30,30,-14,0,-50,18,24,30,37,36,35,165,165,166,74,75,89,87,14,14,16,19,18,27,28,31,14,31,39,59,2501,31.72727203,1.489356279
14.18000031,15.23999977,12.77999973,2692,3117,1645,396,248,288,162,1.139999986,27,26,28,25,27,23,27,26,27,23,24,-14,0,-50,13,17,24,29,29,29,166,166,166,79,79,90,89,8,8,12,14,15,24,23,25,9,25,33,49,3050,25.72727203,1.737291574
9.039999962,9.720000267,8.270000458,565,724,409,-487,56,75,51,1.0,27,27,27,27,27,27,27,31,34,33,33,-14,0,-50,17,21,28,33,33,32,166,166,166,49,50,57,57,12,12,17,20,17,34,24,29,13,25,37,49,3050,29.09090996,2.981762648
8.470000267,10.06000042,7.460000038,444,824,252,-31,45,56,37,1.0,32,34,33,33,34,33,32,35,35,35,38,-14,0,-50,24,26,31,39,39,39,165,165,166,49,49,63,63,20,20,25,27,25,36,31,36,22,32,39,48,3050,34.0,1.732050776
5.550000191,5.889999866,5.360000134,19,40,6,46,34,61,23,1.0,32,33,34,34,36,35,34,36,36,34,33,-14,0,-50,28,29,32,43,43,42,165,165,165,36,36,33,33,16,16,20,25,20,35,28,32,30,22,32,43,3050,34.27272797,1.348399758
